PLAYER,TEAM,GP,W,L,MIN,Touches,Paint Touches,FGM,FGA,FG%,FTM,FTA,FT%,PTS,PTS%,Pass,Pass%,AST,AST%,TO,TOV%,PF,PF%
Thanasis Antetokounmpo,MIL,2,1,1,5,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tobias Harris,PHI,6,5,1,209,296,18,9,12,75.0,2,2,100.0,21,116.7,5,27.8,1,5.6,0,0.0,0,0.0
Torrey Craig,PHX,7,4,3,163,206,14,3,4,75.0,4,4,100.0,10,71.4,8,57.1,0,0.0,0,0.0,1,7.1
Trae Young,ATL,6,2,4,230,539,4,1,1,100.0,4,4,100.0,6,150.0,1,25.0,0,0.0,0,0.0,1,25.0
Trey Lyles,SAC,7,3,4,118,184,11,3,6,50.0,3,4,75.0,9,81.8,1,9.1,1,9.1,2,18.2,2,18.2
Troy Brown Jr.,LAL,7,5,2,100,92,2,2,2,100.0,0,0,0.0,4,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Tyler Herro,MIA,1,1,0,19,23,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Tyrese Maxey,PHI,6,5,1,214,425,3,1,2,50.0,0,0,0.0,2,66.7,1,33.3,1,33.3,0,0.0,0,0.0
Tyus Jones,MEM,6,2,4,120,269,1,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Udonis Haslem,MIA,1,1,0,2,3,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Victor Oladipo,MIA,2,1,1,45,57,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
Vlatko Cancar,DEN,2,2,0,5,14,1,0,0,0.0,0,0,0.0,0,0.0,1,100.0,0,0.0,0,0.0,0,0.0
Wendell Moore Jr.,MIN,1,0,1,2,1,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Wenyen Gabriel,LAL,6,4,2,25,31,11,3,6,50.0,0,0,0.0,7,63.6,5,45.5,0,0.0,0,0.0,0,0.0
Wesley Matthews,MIL,2,0,2,41,34,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Xavier Tillman,MEM,6,2,4,183,255,41,17,26,65.4,2,2,100.0,36,87.8,9,22.0,2,4.9,2,4.9,1,2.4
Yuta Watanabe,BKN,1,0,1,5,10,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Zeke Nnaji,DEN,2,2,0,7,11,2,1,1,100.0,0,0,0.0,2,100.0,0,0.0,0,0.0,0,0.0,0,0.0
Ziaire Williams,MEM,4,2,2,12,19,1,1,1,100.0,0,0,0.0,2,200.0,0,0.0,0,0.0,0,0.0,0,0.0
